Experiment,Dataset,Entries,Time(us)
insertionsort,input_semi_5.txt,1250,2695
insertionsort,input_semi_6.txt,1500,3828
insertionsort,input_semi_7.txt,1750,5163
insertionsort,input_semi_8.txt,2000,12044
insertionsort,input_semi_9.txt,2250,9613
insertionsort,input_semi_10.txt,2500,11245
insertionsort,input_semi_11.txt,2750,15967
insertionsort,input_semi_12.txt,3000,16077
insertionsort,input_semi_13.txt,3250,19743
insertionsort,input_semi_14.txt,3500,23205
insertionsort,input_semi_15.txt,3750,26255
insertionsort,input_semi_16.txt,4000,32165
insertionsort,input_semi_17.txt,4250,40279
insertionsort,input_semi_18.txt,4500,44980
insertionsort,input_semi_19.txt,4750,52587
insertionsort,input_semi_20.txt,5000,43906
insertionsort,input_backsorted_1.txt,250,264
insertionsort,input_backsorted_2.txt,500,815
insertionsort,input_backsorted_3.txt,750,2135
insertionsort,input_backsorted_4.txt,1000,3461
insertionsort,input_backsorted_5.txt,1250,5657
insertionsort,input_backsorted_6.txt,1500,7409
insertionsort,input_backsorted_7.txt,1750,10909
insertionsort,input_backsorted_8.txt,2000,13691
insertionsort,input_backsorted_9.txt,2250,21742
insertionsort,input_backsorted_10.txt,2500,33117
insertionsort,input_backsorted_11.txt,2750,26928
insertionsort,input_backsorted_12.txt,3000,35307
insertionsort,input_backsorted_13.txt,3250,40994
insertionsort,input_backsorted_14.txt,3500,46904
insertionsort,input_backsorted_15.txt,3750,61641
insertionsort,input_backsorted_16.txt,4000,75915
insertionsort,input_backsorted_17.txt,4250,78273
insertionsort,input_backsorted_18.txt,4500,86638
insertionsort,input_backsorted_19.txt,4750,97913
insertionsort,input_backsorted_20.txt,5000,92466
mergesort,input_randomized_1.txt,250,111
mergesort,input_randomized_2.txt,500,219
mergesort,input_randomized_3.txt,750,372
mergesort,input_randomized_4.txt,1000,520
mergesort,input_randomized_5.txt,1250,842
mergesort,input_randomized_6.txt,1500,738
mergesort,input_randomized_7.txt,1750,922
mergesort,input_randomized_8.txt,2000,1005
mergesort,input_randomized_9.txt,2250,1128
mergesort,input_randomized_10.txt,2500,1308
mergesort,input_randomized_11.txt,2750,1472
mergesort,input_randomized_12.txt,3000,2489
mergesort,input_randomized_13.txt,3250,2967
mergesort,input_randomized_14.txt,3500,3300
mergesort,input_randomized_15.txt,3750,3416
mergesort,input_randomized_16.txt,4000,2193
mergesort,input_randomized_17.txt,4250,3593
mergesort,input_randomized_18.txt,4500,2443
mergesort,input_randomized_19.txt,4750,3939
mergesort,input_randomized_20.txt,5000,4477
mergesort,input_partial_1.txt,250,97
mergesort,input_partial_2.txt,500,210
mergesort,input_partial_3.txt,750,301
mergesort,input_partial_4.txt,1000,484
mergesort,input_partial_5.txt,1250,1813
mergesort,input_partial_6.txt,1500,763
mergesort,input_partial_7.txt,1750,897
mergesort,input_partial_8.txt,2000,1113
mergesort,input_partial_9.txt,2250,1293
mergesort,input_partial_10.txt,2500,1354
mergesort,input_partial_11.txt,2750,1374
mergesort,input_partial_12.txt,3000,1415
mergesort,input_partial_13.txt,3250,2196
mergesort,input_partial_14.txt,3500,2093
mergesort,input_partial_15.txt,3750,1826
mergesort,input_partial_16.txt,4000,2344
mergesort,input_partial_17.txt,4250,2078
mergesort,input_partial_18.txt,4500,2186
mergesort,input_partial_19.txt,4750,2454
mergesort,input_partial_20.txt,5000,2403
mergesort,input_semi_1.txt,250,111
mergesort,input_semi_2.txt,500,230
mergesort,input_semi_3.txt,750,543
mergesort,input_semi_4.txt,1000,874
mergesort,input_semi_5.txt,1250,1050
mergesort,input_semi_6.txt,1500,1309
mergesort,input_semi_7.txt,1750,989
mergesort,input_semi_8.txt,2000,1051
mergesort,input_semi_9.txt,2250,1241
mergesort,input_semi_10.txt,2500,1360
mergesort,input_semi_11.txt,2750,1508
mergesort,input_semi_12.txt,3000,1605
mergesort,input_semi_13.txt,3250,2744
mergesort,input_semi_14.txt,3500,2961
mergesort,input_semi_15.txt,3750,2315
mergesort,input_semi_16.txt,4000,2591
mergesort,input_semi_17.txt,4250,3515
mergesort,input_semi_18.txt,4500,2792
